id,focus,signal,slack,drag,confidence,score,lane
l001,window width,35,33,6,25,170,ship
l002,metric stability,35,34,6,55,231,ship
l003,explainability,35,35,6,85,292,ship
l004,feature drift,35,36,18,25,137,watch
l005,window width,35,37,18,55,198,ship
l006,metric stability,35,38,18,85,259,ship
l007,explainability,35,39,34,25,92,hold
l008,feature drift,35,40,34,55,153,watch
l009,window width,35,41,34,85,214,ship
l010,metric stability,60,42,6,25,254,ship
l011,explainability,60,43,6,55,315,ship
l012,feature drift,60,44,6,85,376,ship
l013,window width,60,45,18,25,221,ship
l014,metric stability,60,46,18,55,282,ship
l015,explainability,60,47,18,85,343,ship
l016,feature drift,60,48,34,25,176,ship
l017,window width,60,32,34,55,220,ship
l018,metric stability,60,33,34,85,281,ship
l019,explainability,85,34,6,25,321,ship
l020,feature drift,85,35,6,55,382,ship
l021,window width,85,36,6,85,443,ship
l022,metric stability,85,37,18,25,288,ship
l023,explainability,85,38,18,55,349,ship
l024,feature drift,85,39,18,85,410,ship
l025,window width,85,40,34,25,243,ship
l026,metric stability,85,41,34,55,304,ship
l027,explainability,85,42,34,85,365,ship
